EPIC number,Spectral Type,V mag,G mag,M_ref,Q_ref,Period_ref
203318214,M2.0,,13.4791,0.19,0.03,4.17
203806628,M2,15.02,13.8045,1.1,0.97,7.31
203912674,M2,,17.2591,-0.11,0.82,28.05
203913804,M2,14.19,13.1258,-0.37,1,13.53
203947305,M2,16.52,14.631,-0.18,1,45.89
203981774,M2,,14.3159,-0.07,0.09,0.82
205038557,M2,,13.6501,0.02,0.09,3.85
205179845,M2,,13.0797,0.02,0.74,2.6
204398857,M2.0,,13.8485,0.04,0.21,13.16
203440253,M2.5,13.87,12.7448,0.29,0.32,6.76
203895983,M2.5,,17.8717,0.08,0.74,2.45
203969672,M2.5,,13.6971,0.68,0.74,4.9
2204278916,M2.5,,13.6971,0.78,0.86,39.68
15204278916,M2.5,,,,,